description,code,type
20 Microns Ltd. EOD Prices,BOM533022,BSE
3i Infotech Ltd. EOD Prices,BOM532628,BSE
3m India Ltd. EOD Prices,BOM523395,BSE
7seas Technologies Ltd-$ EOD Prices,BOM590116,BSE
8k Miles Software Services Ltd. EOD Prices,BOM512161,BSE
A.f. Enterprises Ltd EOD Prices,BOM538351,BSE
A.k. Spintex Ltd EOD Prices,BOM539300,BSE
A.k.capital Services Ltd. EOD Prices,BOM530499,BSE
A2z Infra Engineering Limited EOD Prices,BOM533292,BSE
Aadhaar Ventures India Ltd. EOD Prices,BOM531611,BSE
Aadi Industries Ltd. EOD Prices,BOM530027,BSE
Aagam Capital Ltd. EOD Prices,BOM531866,BSE
Aananda Lakshmi Spinning Mills Ltd EOD Prices,BOM539096,BSE
Aanchal Ispat Ltd EOD Prices,BOM538812,BSE
Aarey Drugs & Pharmaceuticals Ltd. EOD Prices,BOM524412,BSE
Aarti Drugs Ltd. EOD Prices,BOM524348,BSE
Aarti Industries Ltd. EOD Prices,BOM524208,BSE
Aarvee Denims & Exports Ltd. EOD Prices,BOM514274,BSE
Aarya Global Shares And Securities Ltd. EOD Prices,BOM531731,BSE
Aashee Infotech Ltd. EOD Prices,BOM519319,BSE
Aaswa Trading & Exports Ltd. EOD Prices,BOM512038,BSE
Aban Offshore Ltd. EOD Prices,BOM523204,BSE
Abans Enterprises Ltd EOD Prices,BOM512165,BSE
Abb India Limited EOD Prices,BOM500002,BSE
Abbott India Ltd. EOD Prices,BOM500488,BSE
Abc Bearings Ltd.-$ EOD Prices,BOM505665,BSE
Abc Gas (international) Ltd. EOD Prices,BOM513119,BSE
Abc India Ltd.-$ EOD Prices,BOM520123,BSE
Abg Shipyard Ltd. EOD Prices,BOM532682,BSE
Abhinav Capital Services Ltd. EOD Prices,BOM532057,BSE
Abhinav Leasing & Finance Ltd EOD Prices,BOM538952,BSE
Abhishek Corporation Ltd. EOD Prices,BOM532831,BSE
Abhishek Finlease Ltd EOD Prices,BOM538935,BSE
Abirami Financial Services (india) Ltd. EOD Prices,BOM511756,BSE
Abl Biotechnologies Ltd. EOD Prices,BOM526955,BSE
Abm Knowledgeware Ltd. EOD Prices,BOM531161,BSE
Acc Ltd. EOD Prices,BOM500410,BSE
Accel Frontline Ltd. EOD Prices,BOM532774,BSE
Accel Transmatic Ltd. EOD Prices,BOM517494,BSE
Accelya Kale Solutions Limitd EOD Prices,BOM532268,BSE
Accentia Technologies Ltd.-$ EOD Prices,BOM531897,BSE
Acclaim Industries Limited EOD Prices,BOM526347,BSE
Accurate Transformers Ltd. EOD Prices,BOM530513,BSE
Ace Edutrend Ltd EOD Prices,BOM530093,BSE
Ace Software Exports Ltd.-$ EOD Prices,BOM531525,BSE
Ace Tours Worldwide Ltd EOD Prices,BOM536492,BSE
Achal Investments Ltd EOD Prices,BOM538570,BSE
Aci Infocom Ltd. EOD Prices,BOM517356,BSE
Acil Cotton Industries Limited EOD Prices,BOM530901,BSE
Acknit Industries Ltd. EOD Prices,BOM530043,BSE
Acme Resources Ltd EOD Prices,BOM539391,BSE
Acropetal Technologies Ltd. EOD Prices,BOM533330,BSE
Acrow India Ltd. EOD Prices,BOM513149,BSE
Acrysil Ltd. EOD Prices,BOM524091,BSE
Action Construction Equipment Ltd. EOD Prices,BOM532762,BSE
Action Financial Services (india) Ltd. EOD Prices,BOM511706,BSE
Ad-manum Finance Ltd. EOD Prices,BOM511359,BSE
Adani Enterprises Ltd. EOD Prices,BOM512599,BSE
Adani Ports And Special Economic Zone Ltd. EOD Prices,BOM532921,BSE
Adani Power Ltd. EOD Prices,BOM533096,BSE
Adani Transmission Ltd EOD Prices,BOM539254,BSE
Adarsh Mercantile Ltd EOD Prices,BOM538563,BSE
Adarsh Plant Protect Ltd. EOD Prices,BOM526711,BSE
Adc India Communications Limited-$ EOD Prices,BOM523411,BSE
Adcc Infocad Ltd EOD Prices,BOM538734,BSE
Addi Industries Ltd.-$ EOD Prices,BOM507852,BSE
Adf Foods Ltd.-$ EOD Prices,BOM519183,BSE
Adhbhut Infrastructure Ltd EOD Prices,BOM539189,BSE
Adhunik Industries Ltd EOD Prices,BOM538365,BSE
Adhunik Metaliks Ltd. EOD Prices,BOM532727,BSE
Adi Finechem Ltd. EOD Prices,BOM530117,BSE
Adi Rasayan Ltd. EOD Prices,BOM531592,BSE
Adinath Bio-labs Ltd. EOD Prices,BOM590088,BSE
Adinath Exim Resources Ltd. EOD Prices,BOM532056,BSE
Adinath Textiles Ltd. EOD Prices,BOM514113,BSE
Aditya Birla Chemicals (india) Ltd. EOD Prices,BOM500057,BSE
Aditya Birla Fashion And Retail Ltd EOD Prices,BOM535755,BSE
Aditya Birla Money Ltd.-$ EOD Prices,BOM532974,BSE
Aditya Birla Nuvo Ltd. EOD Prices,BOM500303,BSE
Aditya Forge Ltd. EOD Prices,BOM522150,BSE
Aditya Ispat Ltd. EOD Prices,BOM513513,BSE
Aditya Spinners Ltd. EOD Prices,BOM521141,BSE
Adlabs Entertainment Ltd EOD Prices,BOM539056,BSE
Ador Fontech Ltd.-$ EOD Prices,BOM530431,BSE
Ador Multiproducts Ltd. EOD Prices,BOM523120,BSE
Ador Welding Ltd. EOD Prices,BOM517041,BSE
Ads Diagnostic Ltd. EOD Prices,BOM523031,BSE
Advance Lifestyles Ltd. EOD Prices,BOM521048,BSE
Advance Metering Technology Ltd. EOD Prices,BOM534612,BSE
Advance Petrochemicals Ltd. EOD Prices,BOM506947,BSE
Advance Powerinfra Tech Limited EOD Prices,BOM531047,BSE
Advanced Micronic Devices Ltd.-$ EOD Prices,BOM517552,BSE
Advani Hotels & Resorts (india) Ltd. EOD Prices,BOM523269,BSE
Advanta Limited EOD Prices,BOM532840,BSE
Advent Computer Services Ltd. EOD Prices,BOM531429,BSE
Advik Laboratories Ltd. EOD Prices,BOM531686,BSE
Aegis Logistics Ltd. EOD Prices,BOM500003,BSE
Aftek Ltd. EOD Prices,BOM530707,BSE
Agarwal Industrial Corporation Ltd. EOD Prices,BOM531921,BSE
Agc Networks Limited EOD Prices,BOM500463,BSE
Agi Infra Ltd EOD Prices,BOM539042,BSE
Agio Paper & Industries Ltd.-$ EOD Prices,BOM516020,BSE
Agri- Tech (india) Ltd EOD Prices,BOM537292,BSE
Agrimony Commodities Ltd EOD Prices,BOM537492,BSE
Agro Dutch Industries Ltd. EOD Prices,BOM519281,BSE
Agro Tech Foods Ltd. EOD Prices,BOM500215,BSE
Ahlcon Parenterals (india) Ltd. EOD Prices,BOM524448,BSE
Ahluwalia Contracts (india) Ltd. EOD Prices,BOM532811,BSE
Ahmedabad Steelcraft Ltd. EOD Prices,BOM522273,BSE
Ai Champdany Industries Ltd. EOD Prices,BOM532806,BSE
Aia Engineering Ltd. EOD Prices,BOM532683,BSE
Aikyam Intellectual Property Consultancy Limited EOD Prices,BOM506822,BSE
Aimco Pesticides Ltd. EOD Prices,BOM524288,BSE
Aishwarya Telecom Ltd. EOD Prices,BOM532975,BSE
Ajanta Pharma Ltd. EOD Prices,BOM532331,BSE
Ajanta Soya Ltd. EOD Prices,BOM519216,BSE
Ajcon Global Services Ltd. EOD Prices,BOM511692,BSE
Ajel Ltd. EOD Prices,BOM530713,BSE
Ajmera Realty & Infra India Ltd. EOD Prices,BOM513349,BSE
Ajwa Fun World & Resort Ltd. EOD Prices,BOM526628,BSE
Akar Tools Ltd. EOD Prices,BOM530621,BSE
Akashdeep Metal Industries Ltd EOD Prices,BOM538778,BSE
Akme Star Housing Finance Ltd EOD Prices,BOM539017,BSE
Aksh Optifibre Ltd. EOD Prices,BOM532351,BSE
Aksharchem (india) Ltd.-$ EOD Prices,BOM524598,BSE
Akzo Nobel India Limited EOD Prices,BOM500710,BSE
Alacrity Securities Ltd EOD Prices,BOM535916,BSE
Alan Scott Industries Ltd EOD Prices,BOM539115,BSE
Alang Industrial Gases Ltd. EOD Prices,BOM531517,BSE
Alankit Ltd EOD Prices,BOM531082,BSE
Albert David Ltd.-$ EOD Prices,BOM524075,BSE
Alchemist Corporation Ltd. EOD Prices,BOM531409,BSE
Alchemist Ltd. EOD Prices,BOM526707,BSE
Alchemist Realty Ltd. EOD Prices,BOM532114,BSE
Alembic Ltd. EOD Prices,BOM506235,BSE
Alembic Pharmaceuticals Ltd. EOD Prices,BOM533573,BSE
Alfa Ica (india) Ltd. EOD Prices,BOM530973,BSE
Alfa Transformers Ltd. EOD Prices,BOM517546,BSE
Alfavision Overseas (india) Ltd. EOD Prices,BOM531156,BSE
Alfred Herbert (india) Ltd. EOD Prices,BOM505216,BSE
Alicon Castalloy Limited EOD Prices,BOM531147,BSE
Alka Diamond Industries Ltd. EOD Prices,BOM531581,BSE
Alka India Ltd. EOD Prices,BOM530889,BSE
Alka Securities Ltd. EOD Prices,BOM532166,BSE
Alkali Metals Ltd. EOD Prices,BOM533029,BSE
Alkyl Amines Chemicals Ltd.-$ EOD Prices,BOM506767,BSE
Allahabad Bank EOD Prices,BOM532480,BSE
Allcargo Logistics Ltd. EOD Prices,BOM532749,BSE
Alliance Integrated Metaliks Ltd. EOD Prices,BOM534064,BSE
Allied Computers International (asia) Ltd. EOD Prices,BOM532919,BSE
Allied Digital Services Ltd. EOD Prices,BOM532875,BSE
Allsec Technologies Ltd. EOD Prices,BOM532633,BSE
Almondz Global Securities Ltd. EOD Prices,BOM531400,BSE
Alna Trading & Exports Ltd. EOD Prices,BOM506120,BSE
Alok Industries Ltd. EOD Prices,BOM521070,BSE
Alpa Laboratories Ltd. EOD Prices,BOM532878,BSE
Alpha Graphic India Ltd. EOD Prices,BOM531720,BSE
Alpha Hi-tech Fuel Ltd. EOD Prices,BOM531247,BSE
Alphageo (india) Ltd.-$ EOD Prices,BOM526397,BSE
Alpine Housing Development Corporation Ltd. EOD Prices,BOM526519,BSE
Alps Industries Ltd. EOD Prices,BOM530715,BSE
Alstom India Ltd EOD Prices,BOM532309,BSE
Alstom T&d India Ltd. EOD Prices,BOM522275,BSE
Alstone Textiles (india) Ltd EOD Prices,BOM539277,BSE
Alufluoride Ltd. EOD Prices,BOM524634,BSE
Amal Ltd. EOD Prices,BOM506597,BSE
Amalgamated Electricity Co.ltd. EOD Prices,BOM501622,BSE
Amani Trading & Exports Ltd. EOD Prices,BOM512008,BSE
Amar Remedies Ltd. EOD Prices,BOM532664,BSE
Amara Raja Batteries Ltd. EOD Prices,BOM500008,BSE
Amarjothi Spinning Mills Ltd. EOD Prices,BOM521097,BSE
Amarnath Securities Ltd EOD Prices,BOM538465,BSE
